ISO,Wavelength_nm,Normalized_Flux,Polarized_Flux,Degree_of_Polarization_%
1I_Oumuamua,350.0,4.76534304922037e-16,4.659585731168751e-16,-2.219301254060222
1I_Oumuamua,350.6265664160401,6.196822687589544e-16,6.058704229546753e-16,-2.2288592881542675
1I_Oumuamua,351.2531328320802,8.050404914959014e-16,7.870054402835205e-16,-2.2402663472080424
1I_Oumuamua,351.8796992481203,1.0448167724683064e-15,1.0212720598771345e-15,-2.253477663413589
1I_Oumuamua,352.5062656641604,1.3546787001242785e-15,1.3239486078158528e-15,-2.2684413880284846
1I_Oumuamua,353.1328320802005,1.7547135297665725e-15,1.7146165920446333e-15,-2.285098794859876
1I_Oumuamua,353.7593984962406,2.270648462879839e-15,2.2183466978925183e-15,-2.3033845107395763
1I_Oumuamua,354.3859649122807,2.9354003163170458e-15,2.8672043103004804e-15,-2.3232267720856736
1I_Oumuamua,355.0125313283208,3.7910413923541486e-15,3.702158618335585e-15,-2.3445477065437603
1I_Oumuamua,355.6390977443609,4.891290665714512e-15,4.7755009203266936e-15,-2.367263638602497
1I_Oumuamua,356.265664160401,6.304667286357041e-15,6.153904696885974e-15,-2.391285417984049
1I_Oumuamua,356.8922305764411,8.118478211784667e-15,7.922293661997446e-15,-2.416518769520644
1I_Oumuamua,357.5187969924812,1.0443855203285708e-14,1.0188725955054704e-14,-2.4428646631441207
1I_Oumuamua,358.1453634085213,1.3422110511605734e-14,1.3090554893251841e-14,-2.4702197025364074
1I_Oumuamua,358.7719298245614,1.7232747883377527e-14,1.6802191721879472e-14,-2.498476530915685
1I_Oumuamua,359.3984962406015,2.2103549171677792e-14,2.1544876605730072e-14,-2.5275242523656263
1I_Oumuamua,360.0250626566416,2.8323260681706583e-14,2.7598964418810812e-14,-2.5572488670542644
1I_Oumuamua,360.6516290726817,3.625753215163314e-14,3.531935628166493e-14,-2.587533718634369
1I_Oumuamua,361.2781954887218,4.63689207539949e-14,4.515486187168621e-14,-2.618259952069497
1I_Oumuamua,361.9047619047619,5.92419698012697e-14,5.767246816018245e-14,-2.649306980088992
1I_Oumuamua,362.531328320802,7.561461563032155e-14,7.358772581554131e-14,-2.6805529564412054
1I_Oumuamua,363.1578947368421,9.641747702775359e-14,9.38027553276222e-14,-2.711875254087735
1I_Oumuamua,363.7844611528822,1.2282295247799377e-13,1.1945373349462128e-13,-2.7431509464618737
1I_Oumuamua,364.4110275689223,1.5630650723124926e-13,1.5197016255979422e-13,-2.774257289902585
1I_Oumuamua,365.0375939849624,1.987230938817679e-13,1.9314876760963773e-13,-2.80507220537068
1I_Oumuamua,365.6641604010025,2.524023401323396e-13,2.4524553549040493e-13,-2.8354747575565957
1I_Oumuamua,366.2907268170426,3.202669839988924e-13,3.1109022797015013e-13,-2.865345629499566
1I_Oumuamua,366.9172932330827,4.05980074186224e-13,3.942287065334986e-13,-2.8945675908554467
1I_Oumuamua,367.5438596491228,5.141277232795372e-13,4.99099636470928e-13,-2.923025957975462
1I_Oumuamua,368.1704260651629,6.504457539706448e-13,6.312536427277363e-13,-2.950609043990291
1I_Oumuamua,368.796992481203,8.22100474422013e-13,7.976248284204492e-13,-2.9772085971330458
1I_Oumuamua,369.4235588972431,1.03803613121253e-12,1.006866810351773e-12,-3.002720225580984
1I_Oumuamua,370.0501253132832,1.3094044052024462e-12,1.269768160244235e-12,-3.027043807148577
1I_Oumuamua,370.6766917293233,1.6500947430725665e-12,1.5997654692726832e-12,-3.050083882224076
1I_Oumuamua,371.3032581453634,2.077388482531878e-12,2.0135763012295703e-12,-3.071750028407516
1I_Oumuamua,371.9298245614035,2.612764784963426e-12,2.531979215673847e-12,-3.091957215379783
1I_Oumuamua,372.5563909774436,3.282892518561304e-12,3.1807740057764598e-12,-3.110626138610114
1I_Oumuamua,373.1829573934837,4.1208496567133546e-12,3.991962520679861e-12,-3.127683530592313
1I_Oumuamua,373.8095238095238,5.1676207320894126e-12,5.005199185383985e-12,-3.1430624483882497
1I_Oumuamua,374.43609022556393,6.473933728733063e-12,6.269570898516519e-12,-3.1567025363501475
1I_Oumuamua,375.062656641604,8.10251087437658e-12,7.84577874475768e-12,-3.168550262990574
1I_Oumuamua,375.6892230576441,1.0130823555849174e-11,9.808809338662085e-12,-3.178559131070545
1I_Oumuamua,376.3157894736842,1.2654460547833762e-11,1.2251202136707966e-11,-3.186689860081216
1I_Oumuamua,376.9423558897243,1.5791241543636993e-11,1.5287041327929706e-11,-3.192910540403012
1I_Oumuamua,377.5689223057644,1.968623534589293e-11,1.9056827667536044e-11,-3.1971967585371788
1I_Oumuamua,378.1954887218045,2.4517874890785357e-11,2.3733417713224628e-11,-3.199531692918282
1I_Oumuamua,378.8220551378446,3.050540057625456e-11,2.9529256378002086e-11,-3.199906179931629
1I_Oumuamua,379.4486215538847,3.791791036388319e-11,3.670517472715374e-11,-3.1983187498765173
1I_Oumuamua,380.0751879699248,4.7085351264947314e-11,4.5581079936147475e-11,-3.1947756327341814
1I_Oumuamua,380.7017543859649,5.841185379704669e-11,5.654892995650472e-11,-3.189290733717792
